fid,id,left,top,right,bottom,row_index,col_index,area_km2,fid_count,area_m2_sum,density,area_m2_mean,area_m2_max,area_m2_stddev,UMAP1,UMAP2,Cluster
153,592,742540.6993,2564188.0052,743540.6993,2563188.0052,21,19,0.42,2.0,145.697,0.0,72.8485,89.993,17.1445,6.484287,15.868433,4
154,593,742540.6993,2563188.0052,743540.6993,2562188.0052,22,19,0.996,,,0.0,,,,-16.94703,0.01927609,1
155,594,742540.6993,2562188.0052,743540.6993,2561188.0052,23,19,0.999,25.0,1761.793,0.002,70.47172,156.352,41.943047,6.507744,15.767359,4
156,595,742540.6993,2561188.0052,743540.6993,2560188.0052,24,19,0.972,,,0.0,,,,-16.61242,0.14464986,1
157,596,742540.6993,2560188.0052,743540.6993,2559188.0052,25,19,0.064,,,0.0,,,,-16.640787,-0.22296597,1
158,603,743540.6993,2583188.0052,744540.6993,2582188.0052,2,20,0.004,,,0.0,,,,-16.63632,-0.22933473,1
159,604,743540.6993,2582188.0052,744540.6993,2581188.0052,3,20,0.196,28.0,7464.496,0.038,266.589143,2202.028,555.768261,6.7634754,8.692637,0
160,605,743540.6993,2581188.0052,744540.6993,2580188.0052,4,20,0.413,3.0,408.384,0.001,136.128,171.905,31.237862,6.063789,13.762138,4
161,606,743540.6993,2580188.0052,744540.6993,2579188.0052,5,20,0.999,204.0,56395.986,0.056,276.450912,4315.693,493.690425,9.143752,8.211934,5
162,607,743540.6993,2579188.0052,744540.6993,2578188.0052,6,20,0.999,241.0,80256.89,0.08,333.016141,3221.014,414.300174,9.102791,8.4673,5
163,608,743540.6993,2578188.0052,744540.6993,2577188.0052,7,20,0.999,278.0,65550.838,0.066,235.794381,1667.537,282.768903,9.513299,10.204443,3
164,609,743540.6993,2577188.0052,744540.6993,2576188.0052,8,20,0.999,374.0,78478.85,0.079,209.836497,2006.289,232.068126,9.868117,10.237214,3
165,610,743540.6993,2576188.0052,744540.6993,2575188.0052,9,20,0.999,1284.0,340384.698,0.341,265.097117,4779.416,374.029952,12.494614,3.3385868,2
166,611,743540.6993,2575188.0052,744540.6993,2574188.0052,10,20,0.999,1156.0,273316.183,0.274,236.432684,4526.58,333.095156,12.606698,3.8395655,2
167,612,743540.6993,2574188.0052,744540.6993,2573188.0052,11,20,0.999,7.0,1625.241,0.002,232.177286,1109.329,361.314078,6.2102137,10.003,0
168,613,743540.6993,2573188.0052,744540.6993,2572188.0052,12,20,0.999,194.0,49026.776,0.049,252.71534,2166.65,336.886084,9.107482,9.997632,3
169,614,743540.6993,2572188.0052,744540.6993,2571188.0052,13,20,0.999,434.0,124562.359,0.125,287.010044,6732.716,536.74953,10.597069,6.7796993,5
170,615,743540.6993,2571188.0052,744540.6993,2570188.0052,14,20,0.999,555.0,120747.798,0.121,217.5636,3570.935,310.099647,10.751332,9.776586,3
171,616,743540.6993,2570188.0052,744540.6993,2569188.0052,15,20,0.999,641.0,123238.991,0.123,192.260516,3070.912,294.204109,10.885636,9.829497,3
172,617,743540.6993,2569188.0052,744540.6993,2568188.0052,16,20,0.999,325.0,56785.329,0.057,174.724089,2539.817,263.397422,9.64113,10.710479,3
173,618,743540.6993,2568188.0052,744540.6993,2567188.0052,17,20,0.999,,,0.0,,,,-16.73382,-0.26512045,1
174,619,743540.6993,2567188.0052,744540.6993,2566188.0052,18,20,0.999,35.0,3618.719,0.004,103.391971,516.198,109.711117,6.883999,14.305985,4
175,620,743540.6993,2566188.0052,744540.6993,2565188.0052,19,20,0.999,43.0,14156.458,0.014,329.219953,1829.28,501.265953,6.949599,8.392992,0
176,621,743540.6993,2565188.0052,744540.6993,2564188.0052,20,20,0.99,32.0,8982.227,0.009,280.694594,1428.888,341.506563,6.174168,9.760969,0
177,622,743540.6993,2564188.0052,744540.6993,2563188.0052,21,20,0.968,,,0.0,,,,-16.636671,0.24322882,1
178,623,743540.6993,2563188.0052,744540.6993,2562188.0052,22,20,0.999,106.0,10522.974,0.011,99.27334,507.854,83.936162,7.572013,14.06687,4
179,624,743540.6993,2562188.0052,744540.6993,2561188.0052,23,20,0.999,5.0,189.796,0.0,37.9592,103.407,33.460249,6.257594,16.477482,4
180,625,743540.6993,2561188.0052,744540.6993,2560188.0052,24,20,0.999,,,0.0,,,,-16.626322,-0.39086056,1
